config_hash,climate_id,lat,lon,altitude_m,ambient_min_temp,ambient_max_temp,ambient_mean_temp,solar_peak_wm2,wind_speed_ms,humidity_pct,diurnal_amplitude_c,shape,orientation_deg,wall_material,roof_material,glazing_material,insulation_mm,opening_ratio_pct,thermal_mass,is_pcm,is_greenhouse,is_ground_coupled,length_m,width_m,height_m,floor_area_m2,envelope_area_m2,volume_m3,av_ratio,u_value,mean_indoor_temp,min_indoor_temp,max_indoor_temp,diurnal_swing_c,solar_gain_wm2,heat_loss_wm2,heating_demand_kwh_day,comfort_percent,comfort_hours_5c,total_weight_kg,total_cost_inr,carbon_footprint_kgco2
21ab42e794808ae2,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,135.0,concrete,insulated_panel,polyethylene_sheet,50.0,28.0,high,0,0,0,6.0,4.0,2.5,24.0,74.0,60.0,1.233,0.809,-8.73,-10.9,-6.57,4.33,12.4,-13.2,100.77,0.0,0.0,18364.8,194450.0,3638.4
85937bcd2b0db37f,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,90.0,stone,timber_insulated_roof,polyethylene_sheet,50.0,14.0,low,0,0,0,8.0,5.0,2.8,40.0,112.8,112.0,1.007,0.571,-12.82,-14.21,-11.6,2.61,3.5,-5.1,134.06,0.0,0.0,68183.4,279700.0,2502.4
2789adeda5271353,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,180.0,concrete,timber_insulated_roof,glazing_low_e,50.0,14.0,low,0,0,0,4.0,3.0,2.4,12.0,45.6,28.8,1.583,0.548,-9.83,-12.12,-7.56,4.56,4.1,-8.2,44.21,0.0,0.0,12690.7,129060.0,1571.4
84669696df06ffdc,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,315.0,adobe,composite,glazing_low_e,125.0,8.0,high,0,0,0,4.0,3.0,2.4,12.0,45.6,28.8,1.583,0.246,-11.28,-11.84,-10.75,1.09,2.8,-5.1,32.53,0.0,0.0,22222.8,97170.0,1667.9
fe0d7f4bdcdf5ad4,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,270.0,pcm_enhanced_panel,insulated_panel,glazing_low_e,25.0,28.0,low,1,0,0,6.0,4.0,2.5,24.0,74.0,60.0,1.233,0.766,-11.09,-17.65,0.84,18.49,4.8,-7.7,89.19,0.0,0.0,1507.9,252425.0,3135.3
b53e143de77086dd,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,135.0,stone,insulated_panel,glazing_low_e,50.0,14.0,medium,0,0,0,8.0,5.0,2.8,40.0,112.8,112.0,1.007,0.454,-12.52,-13.41,-11.76,1.65,4.5,-5.4,125.8,0.0,0.0,66843.4,251700.0,4876.4
d411aeba37e3a601,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,180.0,insulated_panel,insulated_panel,polyethylene_sheet,125.0,28.0,low,0,0,0,8.0,5.0,2.8,40.0,112.8,112.0,1.007,0.45,-9.1,-17.96,10.28,28.24,9.9,-11.8,115.74,0.0,4.0,1635.6,328530.0,4410.5
05c76fe813e60696,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,225.0,stone,insulated_panel,glazing_low_e,150.0,20.0,high,0,0,0,4.0,3.0,2.4,12.0,45.6,28.8,1.583,0.25,-10.32,-11.04,-9.62,1.42,6.4,-6.4,33.64,0.0,0.0,30878.2,130140.0,1998.0
5031964b5cbd6e95,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,45.0,adobe,insulated_panel,polyethylene_sheet,50.0,8.0,high,0,0,0,4.0,3.0,2.4,12.0,45.6,28.8,1.583,0.5,-10.98,-11.71,-10.3,1.41,4.3,-6.2,40.44,0.0,0.0,17328.7,80340.0,1840.1
4f0db9f54368a522,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,0.0,insulated_panel,insulated_panel,glazing_low_e,25.0,14.0,medium,0,0,0,6.0,4.0,2.5,24.0,74.0,60.0,1.233,0.267,-10.68,-17.09,1.43,18.52,3.5,-6.4,67.82,0.0,0.0,895.4,167425.0,2893.4
0ed39742622e765e,leh,34.1526,77.5771,3524.0,-19.5,-8.0,-14.9,520.0,3.2,24.5,11.5,rectangular,90.0,concrete,timber_insulated_roof,polyethylene_sheet,100.0,14.0,low,0,0,0,8.0,5.0,2.8,40.0,112.8,112.0,1.007,0.377,-12.67,-14.8,-10.64,4.16,3.3,-5.2,117.51,0.0,0.0,28278.7,360040.0,3121.2
